victim_model,attack_method,num_rows,breach_rate_pct,impact_mean
ArcFace,DPA_HMA_ENSEMBLE,30,70.0,0.2775568264093348
Facenet512,DPA_HMA_ENSEMBLE,30,60.0,0.4502669336458058
GhostFaceNet,DPA_HMA_ENSEMBLE,30,53.333333333333336,0.17138287312406583
IR152,DPA_HMA_ENSEMBLE,30,56.666666666666664,0.3324316593042264
VGG-Face,DPA_HMA_ENSEMBLE,30,63.333333333333336,0.2380824569382664
